2026-01-02 15:10:07,043 INFO    MainThread:185312 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2026-01-02 15:10:07,044 INFO    MainThread:185312 [wandb_setup.py:_flush():80] Configure stats pid to 185312
2026-01-02 15:10:07,044 INFO    MainThread:185312 [wandb_setup.py:_flush():80] Loading settings from C:\Users\laure\.config\wandb\settings
2026-01-02 15:10:07,044 INFO    MainThread:185312 [wandb_setup.py:_flush():80] Loading settings from C:\Users\laure\Projects\user-models\wandb\settings
2026-01-02 15:10:07,044 INFO    MainThread:185312 [wandb_setup.py:_flush():80] Loading settings from environment variables
2026-01-02 15:10:07,044 INFO    MainThread:185312 [wandb_init.py:setup_run_log_directory():714] Logging user logs to C:\Users\laure\Projects\user-models\wandb\run-20260102_151007-bvsq2uhy\logs\debug.log
2026-01-02 15:10:07,044 INFO    MainThread:185312 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to C:\Users\laure\Projects\user-models\wandb\run-20260102_151007-bvsq2uhy\logs\debug-internal.log
2026-01-02 15:10:07,044 INFO    MainThread:185312 [wandb_init.py:init():841] calling init triggers
2026-01-02 15:10:07,044 INFO    MainThread:185312 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'num_personas': 42, 'categories': ['voter_registration', 'healthcare', 'taxes'], 'conversation_types': ['single_turn', 'multi_turn', 'esl_to_native', 'native_to_esl'], 'target_model': 'google/gemma-2-9b-it:free', 'judge_model': 'openai/gpt-5-nano', 'experiment_type': 'refusal_rate_fluency', '_wandb': {}}
2026-01-02 15:10:07,044 INFO    MainThread:185312 [wandb_init.py:init():889] starting backend
2026-01-02 15:10:09,393 INFO    MainThread:185312 [wandb_init.py:init():892] sending inform_init request
2026-01-02 15:10:09,477 INFO    MainThread:185312 [wandb_init.py:init():900] backend started and connected
2026-01-02 15:10:09,501 INFO    MainThread:185312 [wandb_init.py:init():970] updated telemetry
2026-01-02 15:10:09,559 INFO    MainThread:185312 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2026-01-02 15:10:09,971 INFO    MainThread:185312 [wandb_init.py:init():1041] starting run threads in backend
2026-01-02 15:10:10,035 INFO    MainThread:185312 [wandb_run.py:_console_start():2521] atexit reg
2026-01-02 15:10:10,035 INFO    MainThread:185312 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2026-01-02 15:10:10,035 INFO    MainThread:185312 [wandb_run.py:_redirect():2438] Wrapping output streams.
2026-01-02 15:10:10,035 INFO    MainThread:185312 [wandb_run.py:_redirect():2461] Redirects installed.
2026-01-02 15:10:10,042 INFO    MainThread:185312 [wandb_init.py:init():1081] run started, returning control to user process
2026-01-02 15:34:21,979 INFO    wandb-AsyncioManager-main:185312 [service_client.py:_forward_responses():80] Reached EOF.
2026-01-02 15:34:21,983 INFO    wandb-AsyncioManager-main:185312 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
